"icao","site","observed_utc","observed_local","flight_category","temp_c","dewpoint_c","wind_dir_deg","wind_kts","gust_kts","vis_sm","altimeter_hpa","raw_text","fetched_at_utc","fetched_at_local"
"CBBC","Bella Bella Arpt, BC, CA",2025-09-24 03:00:00,"2025-09-23 20:00:00","VFR",13,11,300,4,NA,9,1021.8,"METAR CBBC 240300Z AUTO 30004KT 9SM BKN200 OVC220 13/11 A3017 RMK SLP218",2025-09-24 03:45:10.197711,2025-09-23 23:45:10.197761
"CYAT","Attawapisket Arpt, ON, CA",2025-09-24 03:44:00,"2025-09-23 23:44:00","MVFR",4,4,NA,2,NA,4,1020.7,"SPECI CYAT 240344Z AUTO VRB02KT 4SM BR CLR 04/04 A3014 RMK SLP208",2025-09-24 03:45:24.173696,2025-09-23 23:45:24.173741
"CYAH","La Grande IV Arpt, QC, CA",2025-09-24 03:43:00,"2025-09-23 23:43:00","MVFR",1,1,90,2,NA,5,1021.8,"SPECI CYAH 240343Z AUTO 09002KT 5SM BR CLR 01/01 A3017 RMK SLP239",2025-09-24 03:45:24.180228,2025-09-23 23:45:24.180271
"CYBC","Baie Comeau Arpt, QC, CA",2025-09-24 03:29:00,"2025-09-23 23:29:00","IFR",8,8,340,4,NA,1.75,1019.4,"SPECI CYBC 240329Z AUTO 34004KT 1 3/4SM R10/2400FT/N BR CLR 08/08 A3010 RMK SLP197",2025-09-24 03:45:24.186665,2025-09-23 23:45:24.186708
"CYAM","Sault Ste Marie Arpt, ON, CA",2025-09-24 03:00:00,"2025-09-23 23:00:00","VFR",16,16,0,0,NA,15,1015.7,"METAR CYAM 240300Z 00000KT 15SM FEW009 SCT010 OVC038 16/16 A2999 RMK SC1SC3SC5 SC TR SLP161",2025-09-24 03:45:24.194977,2025-09-23 23:45:24.195036
"CYBB","Pelly Bay/Kugaaruk Arpt, NU, CA",2025-09-24 03:00:00,"2025-09-23 21:00:00","VFR",4,3,250,14,19,NA,998.1,"METAR CYBB 240300Z 25014G19KT 10SM FEW015 OVC035 04/03 A2947 RMK SF2SC6 SLP984",2025-09-24 03:45:24.203398,2025-09-23 23:45:24.203455
"CYAY","St Anthony Arpt, NL, CA",2025-09-24 03:00:00,"2025-09-24 00:30:00","VFR",4,3,350,4,NA,9,1015.3,"METAR CYAY 240300Z AUTO 35004KT 9SM BKN071 OVC180 04/03 A2998 RMK SLP157",2025-09-24 03:45:24.211743,2025-09-23 23:45:24.211797
"CYHU","Montreal/St Hubert, QC, CA",2025-09-24 03:43:00,"2025-09-23 23:43:00","LIFR",13,13,60,2,NA,0.5,1017.4,"SPECI CYHU 240343Z AUTO 06002KT 1/2SM R24R/3000VP6000FT/ FG CLR 13/13 A3004 RMK SLP176",2025-09-24 03:45:25.480036,2025-09-23 23:45:25.480108
"CYFC","Fredericton Intl, NB, CA",2025-09-24 03:39:00,"2025-09-24 00:39:00","MVFR",11,11,NA,2,NA,5,1016.3,"SPECI CYFC 240339Z AUTO VRB02KT 5SM BR FEW050 SCT060 11/11 A3001 RMK SLP163",2025-09-24 03:45:25.488427,2025-09-23 23:45:25.488486
"CYLH","Lansdowne House Arpt, ON, CA",2025-09-24 03:38:00,"2025-09-23 23:38:00","MVFR",10,10,190,2,NA,5,1019.4,"SPECI CYLH 240338Z AUTO 19002KT 5SM BR CLR 10/10 A3010 RMK SLP202",2025-09-24 03:45:25.50714,2025-09-23 23:45:25.507183
"CYCY","Cylde River Arpt, NU, CA",2025-09-24 03:36:00,"2025-09-23 23:36:00","VFR",9,4,220,20,25,9,994.7,"SPECI CYCY 240336Z AUTO 22020G25KT 9SM FEW110 09/04 A2937 RMK WSHFT AT 0326Z PRESFR SLP949",2025-09-24 03:45:25.513362,2025-09-23 23:45:25.513404
"CYHK","Gjoa Haven Arpt, NU, CA",2025-09-24 03:33:00,"2025-09-23 21:33:00","IFR",2,1,310,11,NA,9,999.4,"SPECI CYHK 240333Z AUTO 31011KT 9SM BKN007 BKN020 BKN026 02/01 A2951 RMK SLP999",2025-09-24 03:45:25.519662,2025-09-23 23:45:25.519704
"CYCA","Cartwright Arpt, NL, CA",2025-09-24 03:26:00,"2025-09-24 00:26:00","VFR",1,0,190,8,NA,9,1015.7,"SPECI CYCA 240326Z AUTO 19008KT 9SM -SN FEW044 BKN220 01/M00 A2999 RMK SLP158",2025-09-24 03:45:25.526081,2025-09-23 23:45:25.526145
